num_conv_layers,learning_rate,epochs,kernel_size,accuracy,loss,f1_score
2,0.1,10,3,0.0694444477558136,2.323554515838623,0.009018759018759018
2,0.01,10,3,0.38657405972480774,4.018006324768066,0.11304116963304521
2,0.001,10,3,0.6851851940155029,1.4318480491638184,0.10744062333366021
2,0.0001,10,3,0.5393518805503845,1.369576096534729,0.13403109419906253
2,1e-05,10,3,0.3125,1.8367666006088257,0.07288233914571146
